ACA (mM)	ACE (mM)	aKG (mM)	CIT (mM)	FUM (mM)	ICIT (mM)	LAC (mM)	MAL (mM)	OAA (mM)	PEP (mM)	PYR (mM)	SUCC (mM)
0.196526667	25.92553911	0.39090259	0.002475905	0.575481519	0.003332625	2.133549044	2.548246811	0.023106993	3.442263115	5.812922437	5.68248099
0.111615667	31.57502478	1.051753419	0.020464223	0.314233998	0.004052565	1.537195744	2.888968628	0.033326456	2.644907635	7.381185837	10.65268564
0.038253	38.18062589	1.032966074	0.025552798	0.459143096	0.014189784	0.054859073	3.350979639	0.005382232	2.938217199	8.738693989	12.37325603
0.200175667	35.21071344	0.493022806	0.008411634	0.189492207	0	1.028638282	1.43527386	0.042906015	2.368650056	3.347588356	6.974126024
0.414332333	38.98486822	0.495864265	0.000458616	0.063661753	0	0.035388266	0.588817488	0.023033784	1.162720419	1.307099122	3.621293873
0.043856536	1.005061444	0.020189221	0.001327311	0.099577521	0.005772276	0.047546523	0.26883821	0.007979435	0.34519427	0.803949091	0.573144869
0.080083164	2.588933402	0.348482864	0.015991477	0.012478538	0.007019249	0.29341589	0.938091151	0.037871753	0.313476363	2.808707376	2.594814025
0.019687216	1.844120652	0.244581711	0.032188977	0.177065939	0.004206066	0.007077736	0.989067085	0.00593924	0.689787961	2.658843252	3.722378475
0.300164694	5.267558907	0.092062042	0.005365559	0.064012974	0	1.654913286	0.606378119	0.04207368	0.360085775	1.679110388	2.71503776
0.067640959	11.1593664	0.532779341	0.000794346	0.089687366	0	0.014403068	0.827393115	0.012528298	0.776397256	1.922192655	4.887612903
