NAD (mM)	NADH (mM)	FAD (mM)	NADP (mM)	NADPH (mM)
0.051550667	0.063028094	0.008282	0.013776	0.005857985
0.137992333	0.21112464	0.009580333	0.049418667	0.013483464
0.055240667	0.242744906	0.009662333	0.048694333	0.023723715
0.071176	0.309784016	0.011794333	0.065477	0.054624022
0.063632	0.141988977	0.014555	0.050580333	0.028538036
0.010026351	0.028252926	0.000818974	0.001476569	0.010146327
0.166801436	0.06467954	0.00226108	0.00697004	0.013483464
0.024840801	0.079479262	0.00125993	0.004561945	0.020680059
0.009676	0.11466994	0.001577479	0.021017169	0.000589165
0.011080928	0.020035795	0.00096937	0.006013085	0.006066745
