ATP (mM)	CTP (mM)	GTP (mM)	UTP (mM)	ADP (mM)	CDP (mM)	GDP (mM)	UDP (mM)	AMP (mM)	CMP (mM)	GMP (mM)	UMP (mM)
1.556785059	0.896096572	0.870625155	0.845161444	0.796546103	0.202160661	0.145815641	0.211656086	0.020214773	0.044934852	0.007225528	0.020557683
0.860325732	0.598934	0.286782693	0.442254535	1.456021733	0.458545539	0.199872837	0.394237154	0.223961382	0.144049182	0.07203993	0.084878065
0.857770884	0.466001303	0.165413986	0.453508841	1.779717266	0.482427693	0.164855549	0.44540544	0.373774176	0.200330273	0.095320924	0.141276647
1.132273865	0.541879934	0.328701272	0.443820864	1.400512451	0.380100358	0.175172349	0.357315045	0.344297183	0.152416723	0.078913169	0.099863219
0.752257506	0.157750197	0.056165033	0.106860512	1.985631377	0.307608805	0.077802005	0.286509537	0.852807029	0.218079783	0.100956674	0.173537443
0.187777765	0.078271107	0.109264686	0.092281394	0.160611537	0.029175004	0.027655568	0.035763875	0.00223945	0.000973073	0.000741097	0.000333775
0.306848301	0.142019382	0.127416906	0.112032142	0.320199857	0.106343989	0.041515888	0.102625558	0.07465308	0.037287157	0.027269129	0.02039222
0.111243824	0.043142571	0.062621181	0.046429786	0.256670776	0.062038659	0.03369181	0.06778351	0.084994817	0.02424017	0.007555272	0.01293457
0.345390224	0.265684924	0.183104632	0.187107658	0.300996663	0.130013829	0.057727094	0.118508976	0.106084697	0.036044129	0.017712147	0.03174537
0.104909733	0.023544934	0.0168511	0.022734169	0.073679942	0.012547227	0.01190458	0.028889686	0.087277217	0.016734344	0.011768267	0.015058047
