NAD (mM)	NADH (mM)	FAD (mM)	NADP (mM)	NADPH (mM)
0.051550667	0.063028094	0.008282	0.013776	0.005857985
0.117847667	0.367197698	0.008268333	0.053095	0.011850635
0.057318	0.155423101	0.010263667	0.050676	0.014914294
0.112886667	0.648560652	0.011603	0.071804667	0.032067415
0.063700333	0.10211148	0.018422667	0.077408	0.031265029
0.010026351	0.028252926	0.000818974	0.001476569	0.010146327
0.093963434	0.432673743	0.001707458	0.01014458	0.011850635
0.029955067	0.049707035	0.00080587	0.002952854	0.012981031
0.077271136	0.84553725	0.001599	0.01635763	0.011564469
0.015528792	0.032067242	0.002508159	0.014727221	0.027695653
