ATP (mM)	CTP (mM)	GTP (mM)	UTP (mM)	ADP (mM)	CDP (mM)	GDP (mM)	UDP (mM)	AMP (mM)	CMP (mM)	GMP (mM)	UMP (mM)
1.556785059	0.896096572	0.870625155	0.845161444	0.796546103	0.202160661	0.145815641	0.211656086	0.020214773	0.044934852	0.007225528	0.020557683
1.071887053	0.539522086	0.303163891	0.524904748	1.710556741	0.439132418	0.22983787	0.39239938	0.261717334	0.12264187	0.068059261	0.076493247
0.840279475	0.43022555	0.129134055	0.500674958	1.559103689	0.397279023	0.126483932	0.461453848	0.314823192	0.114829908	0.032971235	0.092942811
1.001826485	0.289234599	0.140351464	0.400803936	1.681347597	0.2635794	0.125883816	0.39035293	0.438203438	0.098614871	0.048588797	0.092800643
0.593597963	0.108556761	0.026353693	0.225022443	1.980002366	0.241365767	0.061734517	0.363805639	0.844337942	0.133511494	0.060031528	0.170566671
0.187777765	0.078271107	0.109264686	0.092281394	0.160611537	0.029175004	0.027655568	0.035763875	0.00223945	0.000973073	0.000741097	0.000333775
0.191696625	0.155400163	0.161254526	0.106149273	0.432544911	0.112655768	0.014299677	0.106099339	0.07010119	0.031926776	0.019968594	0.044193589
0.053393239	0.084751422	0.058126724	0.072700361	0.031901	0.036721739	0.043533876	0.039599884	0.041809718	0.012341262	0.005819686	0.021969693
0.118573634	0.087560015	0.065175329	0.104883468	0.118857072	0.064124481	0.037091709	0.016271329	0.058681519	0.016229429	0.00176245	0.011401305
0.038588825	0.00504712	0.005553234	0.030667553	0.116957368	0.031976209	0.005678067	0.0251355	0.017151584	0.011919747	0.008164551	0.010948775
