3PG (mM)	6PG (mM)	E4P (mM)	F16P (mM)	F6P (mM)	G6P (mM)	GAP (mM)	GLC (mM)	Gly3P (mM)	Maltose (mM)	R5P (mM)	RL5P (mM)	S7P (mM)
6.12540218	0.016681827	0.038087159	3.643424898	0.029223321	0.045794166	2.194359885	0.002034885	0.376776333	0.318515685	0.055402981	0.035171753	0.006378623
5.303317235	0.013296632	0.042278345	0.358707964	0.012119297	0.013690682	2.765762304	0.004867451	0.486478667	0.063756695	0.038655902	0.037569346	0.004861245
4.164927471	0.009318505	0.036141489	0.550984404	0.018413945	0.026142266	4.104378352	0.002392435	0.933351333	0.025011477	0.067632915	0.052557366	0.005320363
3.759155023	0.009461008	0.043017966	0.340620873	0.007005603	0.011506504	3.207147854	0.004226766	0.475108	0.025809742	0.037049382	0.016024485	0.005342379
3.734357235	0.004377734	0.022281921	0.256054482	0.010737894	0.019450279	2.710911835	0.001241138	0.291933667	0.023384341	0.050958746	0.024037285	0.006139964
0.238847062	0.001291417	0.007438484	0.104659022	0.003846831	0.001968651	0.366631379	0.000378391	0.033762606	0.001989288	0.005456757	0.002022491	0.000391573
0.162373781	0.006881178	0.042278345	0.259654896	0.000335658	0.006124651	0.288943575	0.004679806	0.17118845	0.032406271	0.012694822	0.021986595	0.000562469
0.149043367	0.002482854	0.031803026	0.064064175	0.012509687	0.006155922	1.683233429	0.00059845	0.280523673	0.012149707	0.014127944	0.021332191	0.001153365
0.363571302	0.005442033	0.002998464	0.083826271	0.000346508	0.003984275	1.477744416	0.002781223	0.176960859	0.018288566	0.015334224	0.012873741	0.002224408
0.255467819	0.001800638	0.019846172	0.00892457	0.004151499	0.005316183	0.794688668	0.001087959	0.045881772	0.004887772	0.002930797	0.004177362	0.001819737
