ATP (mM)	CTP (mM)	GTP (mM)	UTP (mM)	ADP (mM)	CDP (mM)	GDP (mM)	UDP (mM)	AMP (mM)	CMP (mM)	GMP (mM)	UMP (mM)
1.556785059	0.896096572	0.870625155	0.845161444	0.796546103	0.202160661	0.145815641	0.211656086	0.020214773	0.044934852	0.007225528	0.020557683
1.023798598	0.404639576	0.203302405	0.688764596	1.449086843	0.323503378	0.158246543	0.369160413	0.263254366	0.091743166	0.04784032	0.073305985
1.266249276	0.221626621	0.110174092	0.957246985	1.677839854	0.226722373	0.125616164	0.396095152	0.383512314	0.075014006	0.046990938	0.09470347
0.887537095	0.057518645	0.036865851	0.341866678	1.741398548	0.095804747	0.048756094	0.316795436	0.620988771	0.047924267	0.031542204	0.151387942
0.520800703	0.010397774	0.019270801	0.065121463	1.802925996	0.031451183	0.042463039	0.189974933	1.1090707	0.028034506	0.051831909	0.163582041
0.187777765	0.078271107	0.109264686	0.092281394	0.160611537	0.029175004	0.027655568	0.035763875	0.00223945	0.000973073	0.000741097	0.000333775
0.352355462	0.131215632	0.130877354	0.368951041	0.039796363	0.030026551	0.051479796	0.022330611	0.031962433	0.008163971	0.007020634	0.005626628
0.154899451	0.013405327	0.02161	0.036733661	0.226586291	0.026190104	0.016562971	0.05777298	0.024406279	0.008963911	0.011417806	0.012432726
0.21509675	0.015336691	0.002502006	0.293241905	0.351311191	0.053555769	0.014939602	0.116192456	0.175052001	0.022192664	0.014502562	0.05240269
0.092696343	0.002032391	0.010545905	0.014248045	0.157394892	0.008156667	0.007091831	0.027448694	0.047300654	0.005840991	0.01379141	0.024442085
