NAD (mM)	NADH (mM)	FAD (mM)	NADP (mM)	NADPH (mM)
0.051550667	0.063028094	0.008282	0.013776	0.002377762
0.136844333	0.503208085	0.00656	0.022577333	0
0.056279333	0.422052018	0.008514333	0.038772333	0.012562966
0.155745333	0.802633259	0.010824	0.049664667	0.017348099
0.087890333	0.355913236	0.011616667	0.032704333	0.021509182
0.010026351	0.028252926	0.000818974	0.001476569	0.004118405
0.134528425	0.255583728	0.000689727	0.009268751	0
0.031876421	0.028345907	0.001227492	0.005315525	0.003582038
0.180884762	0.707271956	0.001906831	0.009184031	0.000744759
0.023314272	0.179963031	0.002991689	0.025736289	0.006410599
