ACA (mM)	ACE (mM)	aKG (mM)	CIT (mM)	FUM (mM)	ICIT (mM)	LAC (mM)	MAL (mM)	OAA (mM)	PEP (mM)	PYR (mM)	SUCC (mM)
0.196526667	25.92553911	0.39090259	0.002475905	0.575481519	0.003332625	2.133549044	2.548246811	0.023106993	3.442263115	5.812922437	5.68248099
0.006546333	30.59595389	0.170580361	0.02060777	0.542708678	0.161388476	2.49276852	1.951927005	0.019620066	1.693829345	4.518285547	11.26765472
0.019857667	35.24988211	0.180463825	0.047103797	0.346588939	0.005022162	0.877252949	2.444622526	0.014574054	1.379329008	5.6240111	13.36483569
0.144265333	33.95910644	0.137195077	0.00501765	0.335776613	0.007959981	2.067594253	2.258659164	0.030376396	0.938908224	4.999971824	5.9141917
0.111123667	27.45375033	0.187408541	0.000399276	0.40388664	0	7.853369884	1.22923732	0.006073652	0.899648743	2.863635423	2.661084426
0.043856536	1.005061444	0.020189221	0.001327311	0.099577521	0.005772276	0.047546523	0.26883821	0.007979435	0.34519427	0.803949091	0.573144869
0.006632545	2.743742089	0.110754979	0.022967443	0.678820946	0.270115446	0.322943297	0.638503295	0.014291924	0.047545084	1.532517373	4.416350939
0.004554569	1.459028109	0.035963106	0.031083535	0.192301152	0.008698639	0.140199674	0.144851379	0.005261849	0.235028723	0.335620234	1.197805612
0.236736224	0.672346369	0.110821959	0.006652922	0.394887752	0.007959981	0.907136253	1.835674399	0.02713338	0.184987973	4.09176517	3.963933404
0.173186297	7.091239574	0.125179326	0.000691566	0.571281006	0	1.573736372	1.270990178	0.002465533	0.158895454	3.037410392	1.650536092
