M_ala_e	M_arg_e	M_asn_e	M_asp_e	M_cys_e	M_gln_e	M_glu_e	M_gly_e	M_his_e	M_ile_e	M_leu_e	M_lys_e	M_met_e	M_phe_e	M_pro_e	M_ser_e	M_thr_e	M_trp_e	M_tyr_e	M_val_e
3.057083333	1.742066667	0.732083333	1.684433333	0.125033333	0.276016667	104.3866667	2.055666667	1.743616667	1.5016	1.5048	1.164433333	1.54955	1.607833333	1.756166667	1.364916667	1.591416667	2.475933333	1.684316667	1.892766667
3.84455	1.416	0.39435	0.252916667	0.132283333	0.30005	100.0266667	1.389683333	1.575183333	1.5023	1.466566667	1.18345	1.376716667	1.463116667	1.703483333	1.54715	1.394066667	2.1672	1.99635	3.1772
4.281216667	1.513116667	0.438833333	0.31575	0.156633333	0.15075	98.67333333	1.432833333	1.53545	1.693666667	1.619633333	1.313316667	1.55625	1.640416667	1.847366667	1.760266667	1.391233333	2.478933333	2.134733333	4.3705
4.149416667	1.315	0.395716667	0.547083333	0.179166667	0.0835	89.28	1.264283333	1.589916667	1.600366667	1.5257	1.201733333	1.446733333	1.565566667	1.667433333	1.891416667	1.21365	2.380433333	2.0382	5.197683333
6.601033333	1.367433333	0.39195	0.353233333	0.197766667	0.06625	83.22666667	1.361083333	1.495266667	1.84315	1.782583333	1.421866667	1.559416667	1.7625	1.957466667	1.8473	1.292616667	2.598483333	2.255816667	8.56155
0.793727807	0.351833996	0.157809825	0.389723493	0.024506598	0.059908792	11.80685112	0.473549893	0.355581866	0.406650178	0.409075919	0.382646081	0.373943074	0.35192819	0.44700063	0.248071952	0.368601632	0.489081932	0.461899441	0.499033381
0.667044318	0.244947892	0.094540983	0.037395933	0.008019092	0.052727317	12.06973626	0.255181858	0.308156723	0.312500396	0.303000534	0.236487489	0.267122675	0.308333052	0.327619815	0.182029208	0.231998326	0.441170735	0.472960759	0.623065159
0.264846967	0.109058348	0.074554969	0.004849742	0.063354288	0.02506696	6.537165543	0.098749105	0.294532494	0.076297122	0.065829977	0.100177796	0.086258753	0.107427817	0.097948332	0.313330705	0.083690417	0.184366011	0.172332936	0.233054548
0.447808009	0.146424648	0.075489243	0.098394288	0.045219363	0.014652304	0.230651252	0.176472819	0.201928517	0.203914236	0.205202437	0.162602539	0.166495768	0.210000204	0.204526186	0.303249519	0.153150326	0.290836145	0.255088058	0.577549189
0.221077828	0.040080086	0.039915317	0.055448182	0.05572074	0.013863261	6.872622013	0.025148675	0.376654541	0.025688178	0.026360308	0.053114624	0.025015712	0.022438304	0.033492624	0.284746813	0.027437854	0.052107205	0.038705824	0.473518033
