3PG (mM)	6PG (mM)	E4P (mM)	F16P (mM)	F6P (mM)	G6P (mM)	GAP (mM)	GLC (mM)	Gly3P (mM)	Maltose (mM)	R5P (mM)	RL5P (mM)	S7P (mM)
6.12540218	0.016681827	0.038087159	3.643424898	0.029223321	0.045794166	2.194359885	0.002034885	0.376776333	0.318515685	0.055402981	0.035171753	0.006378623
5.857593342	0.011435123	0.437402631	0.175771791	0.011761883	0.014960152	3.379601164	0.005831503	1.181100667	0.258390717	0.044477155	0.036079915	0.004682471
5.797704245	0.007873543	0.074108709	0.104745494	0.011795242	0.011334399	4.042345673	0.001706376	0.799049	0.193700587	0.055477549	0.0543246	0.003338583
5.004804986	0.008987658	0.450129446	0.213265848	0.01527645	0.012094684	1.52930915	0.01411231	0.726848	0.194095894	0.032192538	0.013611273	0.004770537
4.842448613	0.00482617	0.028105604	0.026356919	0.01032389	0.005324843	0.583765612	0.003917011	0.455496333	0.180591686	0.020293189	0.021461185	0.003536732
0.238847062	0.001291417	0.007438484	0.104659022	0.003846831	0.001968651	0.366631379	0.000378391	0.033762606	0.001989288	0.005456757	0.002022491	0.000391573
0.473872962	0.002438806	0.734596602	0.062417644	0.003830985	0.002868073	1.688105426	0.00783648	0.405331363	0.025090662	0.020071248	0.016044653	0.000934335
0.357970997	0.002705131	0.021585549	0.027387611	0.001763634	0.001633233	1.33262023	0.000283162	0.257028019	0.008495	0.006289706	0.023210639	0.000734485
0.521322518	0.005303664	0.746791765	0.265492299	0.009290586	0.008280979	0.820378372	0.018455606	0.435463957	0.015022809	0.008559344	0.012736261	0.001702244
1.306850596	0.001793908	0.004857635	0.002815496	0.003983333	0.001424173	0.805998726	0.001211749	0.099518219	0.005201817	0.011627289	0.007174755	0.000921106
