ACA (mM)	ACE (mM)	aKG (mM)	CIT (mM)	FUM (mM)	ICIT (mM)	LAC (mM)	MAL (mM)	OAA (mM)	PEP (mM)	PYR (mM)	SUCC (mM)
0.196526667	25.92553911	0.39090259	0.002475905	0.575481519	0.003332625	2.133549044	2.548246811	0.023106993	3.442263115	5.812922437	5.68248099
0.059778	33.67022956	0.606586839	0.009975676	0.25666413	0.152464704	4.767850233	2.763184725	0.02618178	2.390596826	6.651348862	8.625665271
0.066078333	40.81291017	0.389357092	0.022070368	0.424799992	0	0.936537949	3.543604306	0	1.925197517	9.140872275	10.97508094
0.028932333	41.09011344	0.459449627	0.014115089	0.473478138	0.118389481	1.985333916	2.860836303	0.019432976	1.785852187	7.379041703	7.676126816
0.16892	52.81297011	0.430466153	0.008193488	1.620785273	0.004534461	2.618058677	2.592184707	0.011344715	1.677757251	6.225313802	7.179721668
0.043856536	1.005061444	0.020189221	0.001327311	0.099577521	0.005772276	0.047546523	0.26883821	0.007979435	0.34519427	0.803949091	0.573144869
0.094029163	4.986984759	0.152610716	0.005184802	0.010152186	0.264076614	4.178825766	0.297523616	0.020389942	0.70687737	0.762995223	0.970405132
0.042766014	2.510764833	0.014713095	0.018581591	0.146435467	0	0.856008036	1.390625458	0	0.129814463	3.659450366	3.784551761
0.010599458	1.370416548	0.194480913	0.016749483	0.296409481	0.205056597	2.614286858	1.134646784	0.012682233	0.543898076	3.435111941	2.284097294
0.034446174	2.315874295	0.122038204	0.00772088	1.003345699	0.007853916	1.484830268	0.692579951	8.77355E-05	0.132776538	1.659381934	2.304274849
