3PG (mM)	6PG (mM)	E4P (mM)	F16P (mM)	F6P (mM)	G6P (mM)	GAP (mM)	GLC (mM)	Gly3P (mM)	Maltose (mM)	R5P (mM)	RL5P (mM)	S7P (mM)
6.12540218	0.016681827	0.038087159	3.643424898	0.029223321	0.045794166	2.194359885	0.002034885	0.376776333	0.318515685	0.055402981	0.035171753	0.006378623
3.97012039	0.00988752	0.145938584	0.886263779	0.021437365	0.033272144	1.972231739	0.003770906	0.274618	0.214945167	0.049003415	0.060649379	0.004863593
3.419622408	0.004929809	0.032916474	1.141820603	0.030479928	0.050580879	2.438319597	0.00332896	0.232319667	0.20627391	0.075885903	0.07618966	0.013538098
3.221445311	0.005302509	0.019350089	0.703832802	0.018210517	0.041585367	2.539243765	0.009866487	0.213801333	0.203073196	0.043936124	0.035343568	0.012445785
3.659827268	0.004728511	0.039126626	0.24966953	0.016791883	0.024874935	1.398615396	0.005019908	0.159408	0.22923999	0.031122906	0.043399879	0.006089766
0.238847062	0.001291417	0.007438484	0.104659022	0.003846831	0.001968651	0.366631379	0.000378391	0.033762606	0.001989289	0.005456757	0.002022491	0.000391573
0.34336246	0.007668806	0.222670187	0.120837501	0.003714667	0.002955041	0.649027188	0.001843447	0.114998452	0.014235708	0.019949447	0.045727703	0.000861371
0.282474861	0.0013605	0.006286497	0.149211274	0.002058659	0.008046227	0.132678144	0.000471837	0.10176012	0.017613138	0.002466896	0.014139302	0.000794561
0.127820177	0.004702291	0.019350089	0.135644334	0.004312437	0.018487129	2.115399895	0.009271362	0.014710394	0.016284525	0.019073432	0.021162823	0.000682038
0.225510607	0.004153083	0.015024767	0.034813031	0.010791192	0.002037905	1.362878766	0.001217014	0.029492312	0.01268841	0.019935577	0.041428114	0.000740532
