M_ala_e	M_arg_e	M_asn_e	M_asp_e	M_cys_e	M_gln_e	M_glu_e	M_gly_e	M_his_e	M_ile_e	M_leu_e	M_lys_e	M_met_e	M_phe_e	M_pro_e	M_ser_e	M_thr_e	M_trp_e	M_tyr_e	M_val_e
3.057083333	1.742066667	0.732083333	1.684433333	0.125033333	0.276016667	104.3866667	2.055666667	1.743616667	1.5016	1.5048	1.164433333	1.54955	1.607833333	1.756166667	1.364916667	1.591416667	2.475933333	1.684316667	1.892766667
4.0221	1.327783333	0.279366667	0.61565	0.125916667	0.241816667	101.0333333	1.327983333	1.560116667	1.48315	1.4553	1.181383333	1.347066667	1.459583333	1.655483333	1.711933333	1.19835	2.164333333	1.8745	2.50405
3.4782	1.101066667	0.376933333	0.695533333	0.198166667	0.216216667	87.71333333	1.25375	1.514516667	1.481516667	1.425366667	1.135733333	1.3167	1.478816667	1.56465	2.184533333	0.92375	2.214116667	1.913433333	2.714516667
3.936133333	0.991533333	0.369	0.897666667	0.144483333	0.181066667	74.69333333	1.1833	1.498166667	1.475416667	1.40645	1.140066667	1.264583333	1.45405	1.510116667	1.671683333	0.772416667	2.1591	1.880466667	2.781833333
4.117916667	0.971333333	0.341333333	0.5614	0.1907	0.2082	74.84666667	0.9811	1.35615	1.394683333	1.314583333	1.057183333	1.164733333	1.400783333	1.36365	1.923616667	0.619183333	2.100683333	1.824183333	2.81205
0.793727807	0.351833996	0.157809825	0.389723493	0.024506598	0.059908792	11.80685112	0.473549893	0.355581866	0.406650178	0.409075919	0.382646081	0.373943074	0.35192819	0.44700063	0.248071952	0.368601632	0.489081932	0.461899441	0.499033381
0.473115765	0.083142894	0.192004117	0.04659831	0.062801619	0.007871203	7.495234041	0.073339149	0.095961728	0.128285736	0.130618031	0.131631354	0.124747118	0.128265665	0.131131626	0.489303669	0.133283711	0.197617322	0.153634575	0.138862261
1.19613844	0.269025544	0.139813772	0.125163976	0.051177787	0.038532335	3.445828396	0.326178433	0.414519497	0.409658609	0.403053471	0.309470363	0.353162424	0.399188306	0.454826733	0.366228147	0.303843002	0.544274486	0.495832737	0.690084142
0.991768411	0.076490528	0.053787103	0.096065373	0.036670197	0.035578587	7.315854928	0.114621082	0.127158526	0.120649123	0.098276154	0.07767867	0.105873419	0.128509854	0.091800454	0.337872766	0.10224987	0.211406061	0.155114549	0.231346193
0.699763343	0.13624748	0.055831585	0.058169064	0.04259105	0.039083117	9.685645737	0.174071709	0.222635953	0.261505795	0.244545647	0.235513122	0.210634045	0.246377461	0.225165756	0.158849176	0.106929373	0.366717576	0.304878887	0.496503477
