M_ala_e	M_arg_e	M_asn_e	M_asp_e	M_cys_e	M_gln_e	M_glu_e	M_gly_e	M_his_e	M_ile_e	M_leu_e	M_lys_e	M_met_e	M_phe_e	M_pro_e	M_ser_e	M_thr_e	M_trp_e	M_tyr_e	M_val_e
3.057083333	1.742066667	0.732083333	1.684433333	0.125033333	0.276016667	104.3866667	2.055666667	1.743616667	1.5016	1.5048	1.164433333	1.54955	1.607833333	1.756166667	1.364916667	1.591416667	2.475933333	1.684316667	1.892766667
2.98055	1.2479	0.153316667	0.701483333	0.209283333	0.230783333	97.58	1.39845	1.521933333	1.4397	1.40325	1.1913	1.31265	1.4334	1.554966667	2.093866667	1.035716667	2.12765	1.796066667	3.225366667
2.4141	0.893116667	0.275983333	0.81905	0.1667	0.1836	70.39333333	1.475933333	1.26125	1.373233333	1.316216667	1.00515	1.20845	1.4433	1.372466667	1.713783333	0.574016667	2.155633333	1.836483333	3.477366667
2.395533333	0.64965	0.350966667	0.942566667	0.210983333	0.164316667	57.96666667	1.3438	1.440066667	1.348133333	1.2266	1.002916667	1.173183333	1.367166667	1.234583333	2.113366667	0.28275	2.1112	1.796083333	4.083316667
2.499083333	0.549233333	0.286066667	1.19385	0.150066667	0.1213	46.25333333	1.077616667	1.38045	1.30885	1.134366667	0.903166667	1.060683333	1.345583333	1.022716667	1.561833333	0.1145	2.123566667	1.688383333	5.088216667
0.793727807	0.351833996	0.157809825	0.389723493	0.024506598	0.059908792	11.80685112	0.473549893	0.355581866	0.406650178	0.409075919	0.382646081	0.373943074	0.35192819	0.44700063	0.248071952	0.368601632	0.489081932	0.461899441	0.499033381
0.51172861	0.176315931	0.159910947	0.141622494	0.015200768	0.038804295	3.783490452	0.206686399	0.219759103	0.222803394	0.214686149	0.260675761	0.195735229	0.178070934	0.237283029	0.204740875	0.16252084	0.233302202	0.234067652	0.516437395
0.773554995	0.195166143	0.230755316	0.190117194	0.029855946	0.047593382	2.701801868	0.325443606	0.200957981	0.380196174	0.363819462	0.372077183	0.328032388	0.320618851	0.363854024	0.418692221	0.17674281	0.440921808	0.377941683	0.954670415
0.532986896	0.045923551	0.059071658	0.249141658	0.127914907	0.029275431	5.118919157	0.207082091	0.218057678	0.302387799	0.265638584	0.291195198	0.2490763	0.227447226	0.228697105	1.065825368	0.042518261	0.313381664	0.353982264	0.891500247
0.752035279	0.22377357	0.228169697	0.20035151	0.024235322	0.042267393	2.094978122	0.359554914	0.392275538	0.433172102	0.389459453	0.350255394	0.392876986	0.392715334	0.418370489	0.161685392	0.054374534	0.594951419	0.583125515	1.681364132
